matiere,annee,num_question,texte_question
mathématiques,2019,1,calculer une moyenne donez déux exemple préécis
mathématiques,2019,2,calculer une aire donez déux exemple préécis
mathématiques,2019,3,résoudre une équation du second degré donez une aplication pratique
mathématiques,2019,4,résoudre un système d équations prééésentez les étapes préééincipales
mathématiques,2019,5,calculer le discriminant donez une définition complte
mathématiques,2019,6,calculer un sinus rsumez entier quelques lignes
mathématiques,2019,7,tracer un tableau dé signe comparez avec une notion préééoche
mathématiques,2019,8,résoudre une inéquation comparez avec une notion préééoche
mathématiques,2019,9,dveloper une expression comparez avec une notion préééoche
mathématiques,2019,10,dterminer une image par fonction expliquez avec un exemple concret
mathématiques,2019,11,calculer un volume expliquez avec un exemple concret
mathématiques,2019,12,calculer un sinus comparez avec une notion préééoche
mathématiques,2019,13,tracer un tableau dé signe expliquez selon le préééograme dé finaliste
mathématiques,2019,14,calculer une limite expliquez avec un exemple concret
mathématiques,2019,15,calculer le discriminant donez une définition complte
mathématiques,2019,16,tracer un tableau dé signe ilustrez par un schéma simple
mathématiques,2019,17,résoudre une inéquation prééésentez les avantages entier limites
mathématiques,2019,18,dterminer une équation dé droite ilustrez par un schéma simple
mathématiques,2019,19,calculer une aire expliquez selon le préééograme dé finaliste
mathématiques,2019,20,dterminer une image par fonction ilustrez par un schéma simple
physique-chimie,2024,1,donner la formule dé la puissance lectrique rsumez entier quelques lignes
physique-chimie,2024,2,calculer une dénsit expliquez selon le préééograme dé finaliste
physique-chimie,2024,3,quilibrer une équation chimique ilustrez par un schéma simple
physique-chimie,2024,4,definir un atome prééésentez les avantages entier limites
physique-chimie,2024,5,calculer une dénsit prééésentez les avantages entier limites
physique-chimie,2024,6,definir un acide ilustrez par un schéma simple
physique-chimie,2024,7,definir l énergie cintique donez déux exemple préécis
physique-chimie,2024,8,definir l énergie cintique ilustrez par un schéma simple
physique-chimie,2024,9,citer les tats dé la matière donez déux exemple préécis
physique-chimie,2024,10,definir un acide comparez avec une notion préééoche
physique-chimie,2024,11,definir la tension lectrique rsumez entier quelques lignes
physique-chimie,2024,12,expliquer la réfraction expliquez selon le préééograme dé finaliste
physique-chimie,2024,13,calculer une dénsit expliquez selon le préééograme dé finaliste
physique-chimie,2024,14,definir la vitesse prééésentez les avantages entier limites
physique-chimie,2024,15,calculer une préééesion donez déux exemple préécis
physique-chimie,2024,16,definir la gravitation prééésentez les avantages entier limites
physique-chimie,2024,17,citer les tats dé la matière comparez avec une notion préééoche
physique-chimie,2024,18,definir un atome expliquez selon le préééograme dé finaliste
physique-chimie,2024,19,definir un atome prééésentez les étapes préééincipales
physique-chimie,2024,20,donner la formule dé la puissance lectrique rsumez entier quelques lignes
physique-chimie,2019,1,noncer la loi d ohm donez déux exemple préécis
physique-chimie,2019,2,donner la composition du noyau rsumez entier quelques lignes
physique-chimie,2019,3,calculer un travail mcanique donez une aplication pratique
physique-chimie,2019,4,definir un acide ilustrez par un schéma simple
physique-chimie,2019,5,expliquer la fusion donez une aplication pratique
physique-chimie,2019,6,definir l vaporation comparez avec une notion préééoche
physique-chimie,2019,7,donner la formule dé la puissance lectrique prééésentez les étapes préééincipales
physique-chimie,2019,8,quilibrer une équation chimique comparez avec une notion préééoche
physique-chimie,2019,9,definir la tension lectrique donez une aplication pratique
physique-chimie,2019,10,difrencier masse entier poids comparez avec une notion préééoche
physique-chimie,2019,11,definir l énergie cintique prééésentez les avantages entier limites
physique-chimie,2019,12,definir une raction chimique rsumez entier quelques lignes
physique-chimie,2019,13,definir la gravitation prééésentez les avantages entier limites
physique-chimie,2019,14,noncer la loi d ohm expliquez avec un exemple concret
physique-chimie,2019,15,definir la vitesse donez déux exemple préécis
physique-chimie,2019,16,donner la formule dé la puissance lectrique comparez avec une notion préééoche
physique-chimie,2019,17,citer dés mtaux conducteurs comparez avec une notion préééoche
physique-chimie,2019,18,noncer la loi d ohm donez déux exemple préécis
physique-chimie,2019,19,definir la tension lectrique expliquez selon le préééograme dé finaliste
physique-chimie,2019,20,definir la vitesse donez déux exemple préécis
biologie,2020,1,definir la photosynthèse
biologie,2020,2,difrencier virus entier bactrie
biologie,2020,3,citer les parties préééincipales d une céllule animale
biologie,2020,4,expliquer la respiration pulmonaire
biologie,2020,5,definir une maladie hrditaire
biologie,2020,6,citer les besoins nutritifs dés plantes
biologie,2020,7,expliquer le rôle du noyau célulaire
biologie,2020,8,definir la céllule
biologie,2020,9,citer trois maladies infectieuses
biologie,2020,10,definir un cosystme
biologie,2020,11,citer les étapes dé la digestion
biologie,2020,12,expliquer la reproduction sexue
biologie,2020,13,citer trois organes du système digestif
biologie,2020,14,expliquer la chance alimentaire
biologie,2020,15,definir la mitose
biologie,2020,16,expliquer le rôle dés globules rouges
biologie,2020,17,definir un tisu
biologie,2020,18,donner les groupes sanguins chez l home
biologie,2020,19,expliquer le rôle dé l ADN
biologie,2020,20,definir l imunit
autre,2024,1,definir une proposition subordone prééésentez les étapes préééincipales
autre,2024,2,transformer un discours direct donez déux exemple préécis
autre,2024,3,definir le genre thtral prééésentez les avantages entier limites
autre,2024,4,conjuguer un verbe au pas simple rsumez entier quelques lignes
autre,2024,5,definir le complément d objet direct prééésentez les avantages entier limites
autre,2024,6,identifier un temps verbal rsumez entier quelques lignes
autre,2024,7,transformer une phrase active entier pasive prééésentez les avantages entier limites
autre,2024,8,rédiger une introduction prééésentez les étapes préééincipales
autre,2024,9,coriger une phrase donez une définition complte
autre,2024,10,identifier un temps verbal ilustrez par un schéma simple
autre,2024,11,coriger une phrase comparez avec une notion préééoche
autre,2024,12,donner un exemple dé métaphore donez une aplication pratique
autre,2024,13,rédiger un paragraphe argumentatif prééésentez les avantages entier limites
autre,2024,14,difrencier auteur entier narateur donez déux exemple préécis
autre,2024,15,coriger une phrase expliquez selon le préééograme dé finaliste
autre,2024,16,donner un exemple dé métaphore expliquez selon le préééograme dé finaliste
autre,2024,17,definir le genre thtral expliquez avec un exemple concret
autre,2024,18,transformer une phrase active entier pasive rsumez entier quelques lignes
autre,2024,19,coriger une phrase comparez avec une notion préééoche
autre,2024,20,identifier une figure dé style ilustrez par un schéma simple
mathématiques,2019,1,calculer le discriminant prééésentez les avantages entier limites
mathématiques,2019,2,tracer un tableau dé signe comparez avec une notion préééoche
mathématiques,2019,3,definir une suite arithmtique donez une définition complte
mathématiques,2019,4,dterminer une image par fonction comparez avec une notion préééoche
mathématiques,2019,5,résoudre une équation logarithmique donez une définition complte
mathématiques,2019,6,calculer une moyenne expliquez avec un exemple concret
mathématiques,2019,7,tracer un tableau dé signe expliquez avec un exemple concret
mathématiques,2019,8,calculer une limite donez une définition complte
mathématiques,2019,9,dveloper une expression donez une définition complte
mathématiques,2019,10,calculer un volume expliquez selon le préééograme dé finaliste
mathématiques,2019,11,calculer un volume prééésentez les étapes préééincipales
mathématiques,2019,12,calculer le discriminant prééésentez les avantages entier limites
mathématiques,2019,13,calculer une aire donez une aplication pratique
mathématiques,2019,14,calculer une aire ilustrez par un schéma simple
mathématiques,2019,15,calculer une dérivée simple expliquez avec un exemple concret
mathématiques,2019,16,calculer un sinus donez une définition complte
mathématiques,2019,17,résoudre une inéquation ilustrez par un schéma simple
mathématiques,2019,18,tracer un tableau dé signe donez une définition complte
mathématiques,2019,19,résoudre une équation du second degré donez déux exemple préécis
mathématiques,2019,20,calculer un sinus expliquez avec un exemple concret
histoire-géo,2020,1,definir la colonisation expliquez selon le préééograme dé finaliste
histoire-géo,2020,2,citer les résources minires dé la rdc donez une définition complte
histoire-géo,2020,3,citer les préééovinces dé la rdc expliquez avec un exemple concret
histoire-géo,2020,4,definir la dmocratie prééésentez les avantages entier limites
histoire-géo,2020,5,definir une carte gographique expliquez avec un exemple concret
histoire-géo,2020,6,definir la mondialisation donez une définition complte
histoire-géo,2020,7,expliquer les migrations donez une aplication pratique
histoire-géo,2020,8,definir la colonisation comparez avec une notion préééoche
histoire-géo,2020,9,expliquer le changement climatique expliquez selon le préééograme dé finaliste
histoire-géo,2020,10,expliquer les consquences dé la seconde guerre mondiale donez une définition complte
histoire-géo,2020,11,expliquer l urbanisation prééésentez les étapes préééincipales
histoire-géo,2020,12,expliquer les migrations expliquez avec un exemple concret
histoire-géo,2020,13,definir la mondialisation expliquez selon le préééograme dé finaliste
histoire-géo,2020,14,citer les causes dé la préééemire guerre mondiale donez une définition complte
histoire-géo,2020,15,definir latitude entier longitude donez une définition complte
histoire-géo,2020,16,definir un climat tropical comparez avec une notion préééoche
histoire-géo,2020,17,citer les pays voisins dé la rdc donez déux exemple préécis
histoire-géo,2020,18,citer dés organisations internationales expliquez selon le préééograme dé finaliste
histoire-géo,2020,19,definir la colonisation prééésentez les étapes préééincipales
histoire-géo,2020,20,citer les résources minires dé la rdc donez une définition complte
biologie,2018,1,citer les parties d une céllule prééésentez les étapes préééincipales
biologie,2018,2,definir la photosynthèse comparez avec une notion préééoche
biologie,2018,3,expliquer le rôle dé l ADN donez déux exemple préécis
biologie,2018,4,definir l imunit prééésentez les étapes préééincipales
biologie,2018,5,donner les groupes sanguins donez une définition complte
biologie,2018,6,definir la photosynthèse comparez avec une notion préééoche
biologie,2018,7,definir la photosynthèse rsumez entier quelques lignes
biologie,2018,8,definir un tisu prééésentez les étapes préééincipales
biologie,2018,9,difrencier virus entier bactrie prééésentez les étapes préééincipales
biologie,2018,10,expliquer le rôle dé l ADN prééésentez les avantages entier limites
biologie,2018,11,difrencier virus entier bactrie expliquez avec un exemple concret
biologie,2018,12,definir un tisu donez une aplication pratique
biologie,2018,13,expliquer le rôle dé l ADN ilustrez par un schéma simple
biologie,2018,14,definir un cosystme donez une définition complte
biologie,2018,15,expliquer la chance alimentaire ilustrez par un schéma simple
biologie,2018,16,citer les étapes dé la digestion ilustrez par un schéma simple
biologie,2018,17,expliquer la reproduction sexue expliquez avec un exemple concret
biologie,2018,18,citer les parties d une céllule donez une aplication pratique
biologie,2018,19,definir un cosystme expliquez avec un exemple concret
biologie,2018,20,definir une maladie hrditaire expliquez avec un exemple concret
biologie,2024,1,citer dés maladies infectieuses expliquez avec un exemple concret
biologie,2024,2,citer dés maladies infectieuses donez une aplication pratique
biologie,2024,3,definir la photosynthèse donez une définition complte
