matiere,annee,num_question,texte_question
autre,2019,1,Dfinir une proposition subordonne relative.
autre,2019,2,Donner un exemple de mtaphore.
autre,2019,3,Dfinir le genre thtral.
autre,2019,4,Donner le contraire du mot ‘rapide’.
autre,2019,5,Donner le synonyme du mot ‘courageux’.
autre,2019,6,Rdiger un court paragraphe argumentatif.
autre,2019,7,Former une phrase au conditionnel prsent.
autre,2019,8,Identifier le temps verbal utilis dans un texte.
autre,2019,9,Expliquer le rle du narrateur dans un rcit.
autre,2019,10,Transformer une phrase active en phrase passive.
autre,2019,11,Identifier la figure de style dans la phrase donne.
autre,2019,12,Dfinir le complment d’objet direct.
autre,2019,13,Rdiger une introduction sur le thme de l’ducation.
autre,2019,14,Corriger les fautes dans une phrase donne.
autre,2019,15,Conjuguer le verbe ‘venir’ au pass simple.
autre,2019,16,Dfinir le registre soutenu.
autre,2019,17,Expliquer la diffrence entre auteur et narrateur.
autre,2019,18,Transformer une phrase du discours direct au discours indirect.
autre,2019,19,Accorder correctement le participe pass dans une phrase.
autre,2019,20,Identifier le champ lexical de la guerre.
