matiere,annee,num_question,texte_question
physique-chimie,2025,1,Dfinir la vitesse. Donnez deux exemples prcis.
physique-chimie,2025,2,Donner la composition du noyau. Donnez une application pratique.
physique-chimie,2025,3,Expliquer la fusion. Expliquez selon le programme de finaliste.
physique-chimie,2025,4,Citer des mtaux conducteurs. Donnez deux exemples prcis.
physique-chimie,2025,5,Diffrencier masse et poids. Donnez une dfinition complte.
physique-chimie,2025,6,Expliquer la rfraction. Donnez une application pratique.
physique-chimie,2025,7,Dfinir l’vaporation. Donnez une dfinition complte.
physique-chimie,2025,8,Dfinir un acide. Expliquez avec un exemple concret.
physique-chimie,2025,9,Calculer une pression. Donnez une application pratique.
physique-chimie,2025,10,Expliquer la rfraction. Prsentez les avantages et limites.
physique-chimie,2025,11,Citer des mtaux conducteurs. Prsentez les avantages et limites.
physique-chimie,2025,12,Donner la composition du noyau. Comparez avec une notion proche.
physique-chimie,2025,13,noncer la loi d’Ohm. Illustrez par un schma simple.
physique-chimie,2025,14,Dfinir la tension lectrique. Illustrez par un schma simple.
physique-chimie,2025,15,Calculer un travail mcanique. Donnez une application pratique.
physique-chimie,2025,16,Dfinir un acide. Donnez une application pratique.
physique-chimie,2025,17,Dfinir un atome. Comparez avec une notion proche.
physique-chimie,2025,18,Expliquer la fusion. Donnez deux exemples prcis.
physique-chimie,2025,19,Donner la formule de la puissance lectrique. Illustrez par un schma simple.
physique-chimie,2025,20,Calculer une densit. Rsumez en quelques lignes.
