matiere,annee,num_question,texte_question
biologie,2020,1,Dfinir la photosynthse.
biologie,2020,2,Diffrencier virus et bactrie.
biologie,2020,3,Citer les parties principales d’une cellule animale.
biologie,2020,4,Expliquer la respiration pulmonaire.
biologie,2020,5,Dfinir une maladie hrditaire.
biologie,2020,6,Citer les besoins nutritifs des plantes.
biologie,2020,7,Expliquer le rle du noyau cellulaire.
biologie,2020,8,Dfinir la cellule.
biologie,2020,9,Citer trois maladies infectieuses.
biologie,2020,10,Dfinir un cosystme.
biologie,2020,11,Citer les tapes de la digestion.
biologie,2020,12,Expliquer la reproduction sexue.
biologie,2020,13,Citer trois organes du systme digestif.
biologie,2020,14,Expliquer la chane alimentaire.
biologie,2020,15,Dfinir la mitose.
biologie,2020,16,Expliquer le rle des globules rouges.
biologie,2020,17,Dfinir un tissu.
biologie,2020,18,Donner les groupes sanguins chez l’homme.
biologie,2020,19,Expliquer le rle de l’ADN.
biologie,2020,20,Dfinir l’immunit.
