matiere,annee,num_question,texte_question
mathématiques,2022,1,"Relevez les propositions subordonnées dans la phrase suivante : ""Je pense que tu as
raison, même si je ne suis pas d'accord."""
mathématiques,2022,2,"Conjuguez le verbe ""aller"" au subjonctif présent."
mathématiques,2022,3,"Donnez la nature et la fonction des mots soulignés : ""Le jeune homme (sujet) court
rapidement (complément circonstanciel)."""
mathématiques,2022,4,"Transformez la phrase active en phrase passive : ""Le chien a mordu le facteur."""
mathématiques,2022,5,"Expliquez le sens de l'expression ""mettre la charrue avant les bœufs""."
mathématiques,2022,6,Rédigez une phrase comportant une comparaison.
mathématiques,2022,7,Citez trois figures de style en donnant un exemple pour chacune.
mathématiques,2022,8,"Mettez le texte suivant au discours indirect : ""Il a dit : 'Je viendrai demain'."""
mathématiques,2022,9,"Accordez le participe passé : ""Les fleurs que j'ai (cueillir) ... sont fanées."""
mathématiques,2022,10,Définissez ce qu'est un roman épistolaire.
