matiere,annee,num_question,texte_question
mathématiques,2024,1,noncer le thorme de Pythagore. Illustrez par un schma simple.
mathématiques,2024,2,Rsoudre une quation logarithmique. Expliquez selon le programme de finaliste.
mathématiques,2024,3,Calculer une limite. Donnez une application pratique.
mathématiques,2024,4,Calculer une moyenne. Donnez une application pratique.
mathématiques,2024,5,Dfinir une suite gomtrique. Illustrez par un schma simple.
mathématiques,2024,6,Calculer un sinus. Expliquez avec un exemple concret.
mathématiques,2024,7,Calculer le discriminant. Donnez une dfinition complte.
mathématiques,2024,8,Rsoudre une quation logarithmique. Donnez une dfinition complte.
mathématiques,2024,9,noncer le thorme de Pythagore. Prsentez les avantages et limites.
mathématiques,2024,10,Dfinir une suite gomtrique. Donnez une dfinition complte.
mathématiques,2024,11,Calculer une limite. Donnez une application pratique.
mathématiques,2024,12,Dterminer une primitive. Prsentez les tapes principales.
mathématiques,2024,13,Rsoudre une inquation. Expliquez selon le programme de finaliste.
mathématiques,2024,14,Tracer un tableau de signe. Prsentez les tapes principales.
mathématiques,2024,15,Calculer un sinus. Prsentez les tapes principales.
mathématiques,2024,16,Calculer une limite. Prsentez les avantages et limites.
mathématiques,2024,17,noncer le thorme de Pythagore. Donnez deux exemples prcis.
mathématiques,2024,18,Rsoudre un systme d’quations. Comparez avec une notion proche.
mathématiques,2024,19,Rsoudre une quation du second degr. Rsumez en quelques lignes.
mathématiques,2024,20,Rsoudre une quation du second degr. Comparez avec une notion proche.
