matiere,annee,num_question,texte_question
histoire-géo,2023,1,Dfinir une carte gographique. Illustrez par un schma simple.
histoire-géo,2023,2,Citer les ressources minires de la RDC. Prsentez les avantages et limites.
histoire-géo,2023,3,Citer des organisations internationales. Expliquez selon le programme de finaliste.
histoire-géo,2023,4,Dfinir un climat tropical. Donnez deux exemples prcis.
histoire-géo,2023,5,Dfinir latitude et longitude. Rsumez en quelques lignes.
histoire-géo,2023,6,Citer des organisations internationales. Expliquez avec un exemple concret.
histoire-géo,2023,7,Citer les provinces de la RDC. Prsentez les avantages et limites.
histoire-géo,2023,8,Citer les royaumes africains anciens. Donnez deux exemples prcis.
histoire-géo,2023,9,Expliquer le rle de l’ONU. Expliquez selon le programme de finaliste.
histoire-géo,2023,10,Citer les ressources minires de la RDC. Expliquez selon le programme de finaliste.
histoire-géo,2023,11,Citer les causes de la Premire Guerre mondiale. Prsentez les avantages et limites.
histoire-géo,2023,12,Citer les provinces de la RDC. Expliquez selon le programme de finaliste.
histoire-géo,2023,13,Citer des organisations internationales. Donnez deux exemples prcis.
histoire-géo,2023,14,Citer les royaumes africains anciens. Rsumez en quelques lignes.
histoire-géo,2023,15,Dfinir la dmocratie. Donnez une dfinition complte.
histoire-géo,2023,16,Dfinir la savane. Donnez une dfinition complte.
histoire-géo,2023,17,Expliquer les migrations. Comparez avec une notion proche.
histoire-géo,2023,18,Citer les provinces de la RDC. Prsentez les tapes principales.
histoire-géo,2023,19,Expliquer le rle de l’ONU. Donnez deux exemples prcis.
histoire-géo,2023,20,Expliquer les consquences de la Seconde Guerre mondiale. Prsentez les avantages et limites.
