matiere,annee,num_question,texte_question
autre,2024,1,Accorder un participe pass. Expliquez avec un exemple concret.
autre,2024,2,Donner un synonyme. Illustrez par un schma simple.
autre,2024,3,Conjuguer un verbe au pass simple. Expliquez avec un exemple concret.
autre,2024,4,Donner un antonyme. Donnez une dfinition complte.
autre,2024,5,Identifier un temps verbal. Donnez une dfinition complte.
autre,2024,6,Dfinir le complment d’objet direct. Donnez une application pratique.
autre,2024,7,Rdiger une introduction. Donnez une dfinition complte.
autre,2024,8,Dfinir une proposition subordonne. Rsumez en quelques lignes.
autre,2024,9,Dfinir le complment d’objet direct. Donnez une dfinition complte.
autre,2024,10,Transformer un discours direct. Comparez avec une notion proche.
autre,2024,11,Dfinir le complment d’objet direct. Prsentez les tapes principales.
autre,2024,12,Dfinir le complment d’objet direct. Expliquez avec un exemple concret.
autre,2024,13,Conjuguer un verbe au pass simple. Expliquez selon le programme de finaliste.
autre,2024,14,Rdiger un paragraphe argumentatif. Donnez une application pratique.
autre,2024,15,Accorder un participe pass. Prsentez les avantages et limites.
autre,2024,16,Transformer une phrase active en passive. Donnez une dfinition complte.
autre,2024,17,Rdiger un paragraphe argumentatif. Comparez avec une notion proche.
autre,2024,18,Donner un synonyme. Comparez avec une notion proche.
autre,2024,19,Corriger une phrase. Illustrez par un schma simple.
autre,2024,20,Identifier une figure de style. Donnez une dfinition complte.
