matiere,annee,num_question,texte_question
histoire-géo,2018,1,Dfinir la colonisation.
histoire-géo,2018,2,Citer les ocans du monde.
histoire-géo,2018,3,Expliquer le rle de l’ONU.
histoire-géo,2018,4,Citer les causes de la Premire Guerre mondiale.
histoire-géo,2018,5,Dfinir la mondialisation.
histoire-géo,2018,6,Dfinir une carte gographique.
histoire-géo,2018,7,Citer les ressources minires de la RDC.
histoire-géo,2018,8,Expliquer l’importance du fleuve Congo.
histoire-géo,2018,9,Citer les pays voisins de la RDC.
histoire-géo,2018,10,Dfinir un climat tropical.
histoire-géo,2018,11,Dfinir la savane.
histoire-géo,2018,12,Expliquer les causes de l’urbanisation.
histoire-géo,2018,13,Expliquer les effets du changement climatique.
histoire-géo,2018,14,Dfinir la dmocratie.
histoire-géo,2018,15,Expliquer les mouvements de population.
histoire-géo,2018,16,Citer trois organisations internationales.
histoire-géo,2018,17,Citer les provinces de la RDC.
histoire-géo,2018,18,Dfinir la latitude et la longitude.
histoire-géo,2018,19,Citer les grands royaumes africains anciens.
histoire-géo,2018,20,Expliquer les consquences de la Seconde Guerre mondiale.
