matiere,annee,num_question,texte_question
histoire-géo,2024,1,Quelle est la date de l'indépendance de la République Démocratique du Congo ?
histoire-géo,2024,2,Citez deux causes de la colonisation en Afrique.
histoire-géo,2024,3,Qui fut le premier Premier ministre de la RDC après l'indépendance ?
histoire-géo,2024,4,Quels sont les pays limitrophes de la RDC à l'est ?
histoire-géo,2024,5,Définissez un État unitaire et un État fédéral.
histoire-géo,2024,6,Quelle est la capitale de la province du Nord-Kivu ?
histoire-géo,2024,7,Citez deux fleuves importants d'Afrique.
histoire-géo,2024,8,Qu'est-ce que la décolonisation ? Donnez un exemple.
histoire-géo,2024,9,Nommez deux héros nationaux de la RDC.
histoire-géo,2024,10,"Expliquez le concept de ""développement durable""."
