matiere,annee,num_question,texte_question
mathématiques,2023,1,Quels sont les organes du système respiratoire chez l'homme ?
mathématiques,2023,2,Définissez la mitose et la méiose. Citez deux différences.
mathématiques,2023,3,Expliquez le rôle de la chlorophylle dans la photosynthèse.
mathématiques,2023,4,Qu'est-ce qu'un allèle dominant ?
mathématiques,2023,5,Nommez les quatre groupes sanguins du système ABO.
mathématiques,2023,6,Quelle est la fonction du foie ?
mathématiques,2023,7,Décrivez brièvement le cycle de l'eau.
mathématiques,2023,8,Citez deux maladies bactériennes et deux maladies virales.
mathématiques,2023,9,Quelle est la différence entre une cellule procaryote et une cellule eucaryote ?
mathématiques,2023,10,"Expliquez ce qu'est une chaîne alimentaire, donnez un exemple."
