matiere,annee,num_question,texte_question
physique-chimie,2025,1,Expliquer la fusion.
physique-chimie,2025,2,Dfinir un acide.
physique-chimie,2025,3,Dfinir la vitesse.
physique-chimie,2025,4,Dfinir l’nergie cintique.
physique-chimie,2025,5,noncer la loi d’Ohm.
physique-chimie,2025,6,Donner la composition du noyau atomique.
physique-chimie,2025,7,Donner la formule de la puissance lectrique.
physique-chimie,2025,8,quilibrer une quation chimique simple.
physique-chimie,2025,9,Calculer la pression exerce sur une surface.
physique-chimie,2025,10,Calculer la densit d’un corps.
physique-chimie,2025,11,Citer trois mtaux conducteurs.
physique-chimie,2025,12,Citer les tats physiques de la matire.
physique-chimie,2025,13,Dfinir l’vaporation.
physique-chimie,2025,14,Dfinir une raction chimique.
physique-chimie,2025,15,Dfinir la tension lectrique.
physique-chimie,2025,16,Calculer le travail d’une force.
physique-chimie,2025,17,Expliquer le phnomne de la rfraction.
physique-chimie,2025,18,Expliquer la diffrence entre masse et poids.
physique-chimie,2025,19,Dfinir un atome.
physique-chimie,2025,20,Dfinir la force gravitationnelle.
