matiere,annee,num_question,texte_question
biologie,2019,1,Expliquer la reproduction sexue. Donnez une dfinition complte.
biologie,2019,2,Dfinir l’immunit. Donnez une application pratique.
biologie,2019,3,Dfinir la cellule. Illustrez par un schma simple.
biologie,2019,4,Dfinir un tissu. Prsentez les avantages et limites.
biologie,2019,5,Diffrencier virus et bactrie. Expliquez selon le programme de finaliste.
biologie,2019,6,Expliquer la respiration. Donnez une dfinition complte.
biologie,2019,7,Expliquer le rle du noyau. Expliquez selon le programme de finaliste.
biologie,2019,8,Donner les groupes sanguins. Prsentez les avantages et limites.
biologie,2019,9,Dfinir la mitose. Expliquez avec un exemple concret.
biologie,2019,10,Dfinir l’immunit. Donnez une dfinition complte.
biologie,2019,11,Citer les organes digestifs. Donnez une application pratique.
biologie,2019,12,Citer les besoins nutritifs des plantes. Illustrez par un schma simple.
biologie,2019,13,Citer les parties d’une cellule. Donnez une dfinition complte.
biologie,2019,14,Dfinir la cellule. Donnez une dfinition complte.
biologie,2019,15,Citer les besoins nutritifs des plantes. Donnez une dfinition complte.
biologie,2019,16,Dfinir la cellule. Comparez avec une notion proche.
biologie,2019,17,Dfinir une maladie hrditaire. Expliquez selon le programme de finaliste.
biologie,2019,18,Dfinir un cosystme. Comparez avec une notion proche.
biologie,2019,19,Expliquer la respiration. Donnez une application pratique.
biologie,2019,20,Citer les parties d’une cellule. Expliquez selon le programme de finaliste.
