matiere,annee,num_question,texte_question
histoire-géo,2023,1,Citer des organisations internationales. Expliquez selon le programme de finaliste.
histoire-géo,2023,2,Expliquer l’importance du fleuve Congo. Donnez une application pratique.
histoire-géo,2023,3,Dfinir latitude et longitude. Donnez une application pratique.
histoire-géo,2023,4,Dfinir un climat tropical. Prsentez les avantages et limites.
histoire-géo,2023,5,Dfinir une carte gographique. Expliquez selon le programme de finaliste.
histoire-géo,2023,6,Dfinir la colonisation. Prsentez les tapes principales.
histoire-géo,2023,7,Citer des organisations internationales. Expliquez avec un exemple concret.
histoire-géo,2023,8,Expliquer l’urbanisation. Expliquez selon le programme de finaliste.
histoire-géo,2023,9,Dfinir un climat tropical. Donnez deux exemples prcis.
histoire-géo,2023,10,Citer les ressources minires de la RDC. Prsentez les avantages et limites.
histoire-géo,2023,11,Dfinir une carte gographique. Donnez une application pratique.
histoire-géo,2023,12,Citer les ocans du monde. Rsumez en quelques lignes.
histoire-géo,2023,13,Expliquer le rle de l’ONU. Comparez avec une notion proche.
histoire-géo,2023,14,Citer les ocans du monde. Illustrez par un schma simple.
histoire-géo,2023,15,Dfinir la savane. Comparez avec une notion proche.
histoire-géo,2023,16,Expliquer l’importance du fleuve Congo. Rsumez en quelques lignes.
histoire-géo,2023,17,Citer les provinces de la RDC. Prsentez les tapes principales.
histoire-géo,2023,18,Citer les provinces de la RDC. Donnez une application pratique.
histoire-géo,2023,19,Dfinir la mondialisation. Rsumez en quelques lignes.
histoire-géo,2023,20,Dfinir une carte gographique. Expliquez avec un exemple concret.
