matiere,annee,num_question,texte_question
autre,2021,1,Conjuguer un verbe au pass simple. Rsumez en quelques lignes.
autre,2021,2,Identifier un champ lexical. Prsentez les avantages et limites.
autre,2021,3,Donner un antonyme. Rsumez en quelques lignes.
autre,2021,4,Dfinir le registre soutenu. Expliquez avec un exemple concret.
autre,2021,5,Corriger une phrase. Donnez une dfinition complte.
autre,2021,6,Conjuguer un verbe au pass simple. Donnez deux exemples prcis.
autre,2021,7,Former une phrase au conditionnel. Donnez une application pratique.
autre,2021,8,Transformer un discours direct. Prsentez les avantages et limites.
autre,2021,9,Identifier un champ lexical. Donnez une dfinition complte.
autre,2021,10,Conjuguer un verbe au pass simple. Rsumez en quelques lignes.
autre,2021,11,Transformer un discours direct. Expliquez selon le programme de finaliste.
autre,2021,12,Donner un exemple de mtaphore. Donnez deux exemples prcis.
autre,2021,13,Former une phrase au conditionnel. Comparez avec une notion proche.
autre,2021,14,Rdiger un paragraphe argumentatif. Illustrez par un schma simple.
autre,2021,15,Identifier une figure de style. Prsentez les tapes principales.
autre,2021,16,Donner un synonyme. Rsumez en quelques lignes.
autre,2021,17,Rdiger une introduction. Prsentez les tapes principales.
autre,2021,18,Expliquer le rle du narrateur. Donnez une application pratique.
autre,2021,19,Transformer une phrase active en passive. Expliquez selon le programme de finaliste.
autre,2021,20,Expliquer le rle du narrateur. Illustrez par un schma simple.
