matiere,annee,num_question,texte_question
biologie,2021,1,Dfinir la photosynthse. Prsentez les avantages et limites.
biologie,2021,2,Expliquer le rle de l’ADN. Expliquez selon le programme de finaliste.
biologie,2021,3,Donner les groupes sanguins. Illustrez par un schma simple.
biologie,2021,4,Dfinir un tissu. Donnez une dfinition complte.
biologie,2021,5,Expliquer le rle du noyau. Donnez une dfinition complte.
biologie,2021,6,Dfinir la photosynthse. Donnez une dfinition complte.
biologie,2021,7,Dfinir un tissu. Donnez une dfinition complte.
biologie,2021,8,Dfinir la photosynthse. Rsumez en quelques lignes.
biologie,2021,9,Citer les besoins nutritifs des plantes. Donnez deux exemples prcis.
biologie,2021,10,Expliquer le rle des globules rouges. Prsentez les avantages et limites.
biologie,2021,11,Expliquer le rle de l’ADN. Donnez deux exemples prcis.
biologie,2021,12,Dfinir la photosynthse. Donnez une application pratique.
biologie,2021,13,Citer les organes digestifs. Donnez une dfinition complte.
biologie,2021,14,Donner les groupes sanguins. Donnez une application pratique.
biologie,2021,15,Dfinir un cosystme. Expliquez avec un exemple concret.
biologie,2021,16,Expliquer la respiration. Donnez une application pratique.
biologie,2021,17,Citer des maladies infectieuses. Expliquez avec un exemple concret.
biologie,2021,18,Expliquer le rle de l’ADN. Donnez une dfinition complte.
biologie,2021,19,Expliquer le rle de l’ADN. Expliquez selon le programme de finaliste.
biologie,2021,20,Expliquer le rle des globules rouges. Rsumez en quelques lignes.
